yourlist:M202109254ABAA9BC7178C81CEBC9459510EDDEA3208C12P,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
hsa:11041,O43505,B4GA1_HUMAN,reviewed,"Beta-1,4-glucuronyltransferase 1 (EC 2.4.1.-) (I-beta-1,3-N-acetylglucosaminyltransferase) (iGnT) (N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase) (Poly-N-acetyllactosamine extension enzyme) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1)",B4GAT1 B3GNT1 B3GNT6,Homo sapiens (Human),415
hsa:11041,A0A024R5F9,A0A024R5F9_HUMAN,unreviewed,"Beta-1,4-glucuronyltransferase 1 (I-beta-1,3-N-acetylglucosaminyltransferase) (N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase) (Poly-N-acetyllactosamine extension enzyme) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1)",B3GNT6 hCG_20172,Homo sapiens (Human),415
hsa:1109,P17516,AK1C4_HUMAN,reviewed,Aldo-keto reductase family 1 member C4 (EC 1.1.1.-) (EC 1.1.1.209) (EC 1.1.1.210) (EC 1.1.1.51) (EC 1.1.1.53) (EC 1.1.1.62) (3-alpha-hydroxysteroid dehydrogenase type I) (3-alpha-HSD1) (EC 1.1.1.357) (3alpha-hydroxysteroid 3-dehydrogenase) (Chlordecone reductase) (CDR) (EC 1.1.1.225) (Dihydrodiol dehydrogenase 4) (DD-4) (DD4) (HAKRA),AKR1C4 CHDR,Homo sapiens (Human),323
hsa:111,O95622,ADCY5_HUMAN,reviewed,Adenylate cyclase type 5 (EC 4.6.1.1) (ATP pyrophosphate-lyase 5) (Adenylate cyclase type V) (Adenylyl cyclase 5) (AC5),ADCY5,Homo sapiens (Human),1261
hsa:111,A0A384P5Q5,A0A384P5Q5_HUMAN,unreviewed,Adenylate cyclase (EC 4.6.1.1),,Homo sapiens (Human),1261
hsa:111,B7Z2C7,B7Z2C7_HUMAN,unreviewed,Adenylate cyclase (EC 4.6.1.1),,Homo sapiens (Human),978
hsa:11105,Q9NQW5,PRDM7_HUMAN,reviewed,Probable histone-lysine N-methyltransferase PRDM7 (EC 2.1.1.-) (PR domain zinc finger protein 7) (PR domain-containing protein 7),PRDM7 PFM4,Homo sapiens (Human),492
hsa:11112,P31937,3HIDH_HUMAN,reviewed,"3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)",HIBADH,Homo sapiens (Human),336
hsa:11112,A0A024RA75,A0A024RA75_HUMAN,unreviewed,3-hydroxyisobutyrate dehydrogenase (HIBADH) (EC 1.1.1.31),HIBADH hCG_39034,Homo sapiens (Human),336
hsa:11145,P53816,PLAT3_HUMAN,reviewed,Phospholipase A and acyltransferase 3 (EC 2.3.1.-) (EC 3.1.1.32) (EC 3.1.1.4) (Adipose-specific phospholipase A2) (AdPLA) (Group XVI phospholipase A1/A2) (H-rev 107 protein homolog) (H-REV107) (HREV107-1) (HRAS-like suppressor 1) (HRAS-like suppressor 3) (HRSL3) (HREV107-3) (Renal carcinoma antigen NY-REN-65),PLAAT3 HRASLS3 HREV107 PLA2G16,Homo sapiens (Human),162
hsa:11145,A0A024R561,A0A024R561_HUMAN,unreviewed,"HRAS-like suppressor 3, isoform CRA_a",HRASLS3 hCG_2039981,Homo sapiens (Human),162
hsa:11164,Q9UKK9,NUDT5_HUMAN,reviewed,ADP-sugar pyrophosphatase (EC 3.6.1.13) (8-oxo-dGDP phosphatase) (EC 3.6.1.58) (Nuclear ATP-synthesis protein NUDIX5) (EC 2.7.7.96) (Nucleoside diphosphate-linked moiety X motif 5) (Nudix motif 5) (hNUDT5) (YSA1H),NUDT5 NUDIX5 HSPC115,Homo sapiens (Human),219
hsa:1118,Q13231,CHIT1_HUMAN,reviewed,Chitotriosidase-1 (EC 3.2.1.14) (Chitinase-1),CHIT1,Homo sapiens (Human),466
hsa:11181,O43280,TREA_HUMAN,reviewed,"Trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)",TREH TREA,Homo sapiens (Human),583
hsa:11185,O95050,INMT_HUMAN,reviewed,Indolethylamine N-methyltransferase (Indolamine N-methyltransferase) (EC 2.1.1.49) (EC 2.1.1.96) (Aromatic alkylamine N-methyltransferase) (Amine N-methyltransferase) (Arylamine N-methyltransferase) (Thioether S-methyltransferase) (TEMT),INMT,Homo sapiens (Human),263
hsa:1119,P35790,CHKA_HUMAN,reviewed,Choline kinase alpha (CK) (EC 2.7.1.32) (CHETK-alpha) (Ethanolamine kinase) (EK) (EC 2.7.1.82),CHKA CHK CKI,Homo sapiens (Human),457
hsa:112,O43306,ADCY6_HUMAN,reviewed,Adenylate cyclase type 6 (EC 4.6.1.1) (ATP pyrophosphate-lyase 6) (Adenylate cyclase type VI) (Adenylyl cyclase 6) (Ca(2+)-inhibitable adenylyl cyclase),ADCY6 KIAA0422,Homo sapiens (Human),1168
hsa:1120,Q9Y259,CHKB_HUMAN,reviewed,Choline/ethanolamine kinase (Choline kinase beta) (CK) (CKB) (EC 2.7.1.32) (Choline kinase-like protein) (Ethanolamine kinase) (EK) (EC 2.7.1.82) (Ethanolamine kinase beta) (EKB) (choline/ethanolamine kinase beta) (CKEKB),CHKB CHETK CHKL,Homo sapiens (Human),395
hsa:1120,A0A024R4X4,A0A024R4X4_HUMAN,unreviewed,"HCG16873, isoform CRA_a",hCG_16873,Homo sapiens (Human),395
hsa:11226,Q8NCL4,GALT6_HUMAN,reviewed,Polypeptide N-acetylgalactosaminyltransferase 6 (EC 2.4.1.41) (Polypeptide GalNAc transferase 6) (GalNAc-T6) (pp-GaNTase 6) (Protein-UDP acetylgalactosaminyltransferase 6) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 6),GALNT6,Homo sapiens (Human),622
hsa:11227,Q7Z7M9,GALT5_HUMAN,reviewed,Polypeptide N-acetylgalactosaminyltransferase 5 (EC 2.4.1.41) (Polypeptide GalNAc transferase 5) (GalNAc-T5) (pp-GaNTase 5) (Protein-UDP acetylgalactosaminyltransferase 5) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 5),GALNT5,Homo sapiens (Human),940
hsa:11238,Q9Y2D0,CAH5B_HUMAN,reviewed,"Carbonic anhydrase 5B, mitochondrial (EC 4.2.1.1) (Carbonate dehydratase VB) (Carbonic anhydrase VB) (CA-VB)",CA5B,Homo sapiens (Human),317
hsa:11238,A0A024RBW9,A0A024RBW9_HUMAN,unreviewed,Carbonic anhydrase (EC 4.2.1.1),CA5B hCG_1982002,Homo sapiens (Human),317
hsa:112483,Q96F10,SAT2_HUMAN,reviewed,Thialysine N-epsilon-acetyltransferase (EC 2.3.1.-) (Diamine acetyltransferase 2) (EC 2.3.1.57) (Spermidine/spermine N(1)-acetyltransferase 2) (SSAT-2),SAT2 SSAT2,Homo sapiens (Human),170
hsa:11253,Q9UKM7,MA1B1_HUMAN,reviewed,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase (EC 3.2.1.113) (ER alpha-1,2-mannosidase) (ER mannosidase 1) (ERMan1) (Man9GlcNAc2-specific-processing alpha-mannosidase) (Mannosidase alpha class 1B member 1)",MAN1B1 UNQ747/PRO1477,Homo sapiens (Human),699
hsa:112817,Q86XE5,HOGA1_HUMAN,reviewed,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial (EC 4.1.3.16) (Dihydrodipicolinate synthase-like) (DHDPS-like protein) (Probable 2-keto-4-hydroxyglutarate aldolase) (Probable KHG-aldolase) (Protein 569272)",HOGA1 C10orf65 DHDPSL,Homo sapiens (Human),327
hsa:11282,Q9UQ53,MGT4B_HUMAN,reviewed,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B (EC 2.4.1.145) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVb) (GlcNAc-T IVb) (GnT-IVb) (N-acetylglucosaminyltransferase IVb) (UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVb)",MGAT4B UNQ906/PRO1927,Homo sapiens (Human),548
hsa:11283,P98187,CP4F8_HUMAN,reviewed,Cytochrome P450 4F8 (EC 1.14.14.1) (CYPIVF8),CYP4F8,Homo sapiens (Human),520
hsa:11285,Q9UBV7,B4GT7_HUMAN,reviewed,"Beta-1,4-galactosyltransferase 7 (Beta-1,4-GalTase 7) (Beta4Gal-T7) (b4Gal-T7) (EC 2.4.1.-) (Proteoglycan UDP-galactose:beta-xylose beta1,4-galactosyltransferase I) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 7) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 7) (UDP-galactose:beta-xylose beta-1,4-galactosyltransferase) (XGPT) (XGalT-1) (Xylosylprotein 4-beta-galactosyltransferase) (EC 2.4.1.133) (Xylosylprotein beta-1,4-galactosyltransferase)",B4GALT7 XGALT1 UNQ748/PRO1478,Homo sapiens (Human),327
hsa:113,P51828,ADCY7_HUMAN,reviewed,Adenylate cyclase type 7 (EC 4.6.1.1) (ATP pyrophosphate-lyase 7) (Adenylate cyclase type VII) (Adenylyl cyclase 7),ADCY7 KIAA0037,Homo sapiens (Human),1080
hsa:113,Q86YI0,Q86YI0_HUMAN,unreviewed,Adenylate cyclase (EC 4.6.1.1),,Homo sapiens (Human),433
hsa:113026,Q8N3E9,PLCD3_HUMAN,reviewed,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3 (EC 3.1.4.11) (Phosphoinositide phospholipase C-delta-3) (Phospholipase C-delta-3) (PLC-delta-3)",PLCD3 KIAA1964,Homo sapiens (Human),789
hsa:11320,Q9UM21,MGT4A_HUMAN,reviewed,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A (EC 2.4.1.145) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVa) (GlcNAc-T IVa) (GnT-IVa) (N-acetylglucosaminyltransferase IVa) (UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVa) [Cleaved into: Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A soluble form]",MGAT4A,Homo sapiens (Human),535
hsa:11343,Q99685,MGLL_HUMAN,reviewed,Monoglyceride lipase (MGL) (EC 3.1.1.23) (HU-K5) (Lysophospholipase homolog) (Lysophospholipase-like) (Monoacylglycerol lipase) (MAGL),MGLL,Homo sapiens (Human),303
hsa:113451,Q96A70,AZIN2_HUMAN,reviewed,Antizyme inhibitor 2 (AzI2) (Arginine decarboxylase) (ADC) (ARGDC) (Ornithine decarboxylase-like protein) (ODC-like protein) (ornithine decarboxylase paralog) (ODC-p),AZIN2 ADC KIAA1945 ODCP,Homo sapiens (Human),460
hsa:113612,Q7Z449,CP2U1_HUMAN,reviewed,Cytochrome P450 2U1 (Long-chain fatty acid omega-monooxygenase) (EC 1.14.14.80),CYP2U1,Homo sapiens (Human),544
hsa:113675,Q96GA7,SDSL_HUMAN,reviewed,Serine dehydratase-like (L-serine deaminase) (L-serine dehydratase/L-threonine deaminase) (L-threonine dehydratase) (TDH) (EC 4.3.1.19) (Serine dehydratase 2) (SDH 2) (EC 4.3.1.17),SDSL,Homo sapiens (Human),329
hsa:113675,A0A024RBL2,A0A024RBL2_HUMAN,unreviewed,L-serine ammonia-lyase (EC 4.3.1.17),SDSL hCG_40375,Homo sapiens (Human),329
hsa:114,P40145,ADCY8_HUMAN,reviewed,Adenylate cyclase type 8 (EC 4.6.1.1) (ATP pyrophosphate-lyase 8) (Adenylate cyclase type VIII) (Adenylyl cyclase 8) (AC8) (Ca(2+)/calmodulin-activated adenylyl cyclase),ADCY8,Homo sapiens (Human),1251
hsa:114,A0A0K0K1K3,A0A0K0K1K3_HUMAN,unreviewed,Adenylate cyclase (EC 4.6.1.1),HEL-S-172mP ADCY8 hCG_2008967,Homo sapiens (Human),1251
hsa:114,Q4F7X0,Q4F7X0_HUMAN,unreviewed,Adenylate cyclase (EC 4.6.1.1),ADCY8,Homo sapiens (Human),1120
hsa:114805,Q8IUC8,GLT13_HUMAN,reviewed,Polypeptide N-acetylgalactosaminyltransferase 13 (EC 2.4.1.41) (Polypeptide GalNAc transferase 13) (GalNAc-T13) (pp-GaNTase 13) (Protein-UDP acetylgalactosaminyltransferase 13) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 13),GALNT13 KIAA1918,Homo sapiens (Human),556
hsa:115,O60503,ADCY9_HUMAN,reviewed,Adenylate cyclase type 9 (EC 4.6.1.1) (ATP pyrophosphate-lyase 9) (Adenylate cyclase type IX) (ACIX) (Adenylyl cyclase 9) (AC9),ADCY9 KIAA0520,Homo sapiens (Human),1353
hsa:115024,Q969T7,5NT3B_HUMAN,reviewed,7-methylguanosine phosphate-specific 5'-nucleotidase (7-methylguanosine nucleotidase) (EC 3.1.3.91) (Cytosolic 5'-nucleotidase 3B) (Cytosolic 5'-nucleotidase III-like protein) (cN-III-like protein) (EC 3.1.3.5) (N(7)-methylguanylate 5'-phosphatase),NT5C3B NT5C3L,Homo sapiens (Human),300
hsa:1152,P12277,KCRB_HUMAN,reviewed,Creatine kinase B-type (EC 2.7.3.2) (Brain creatine kinase) (B-CK) (Creatine kinase B chain) (Creatine phosphokinase B-type) (CPK-B),CKB CKBB,Homo sapiens (Human),381
hsa:1152,V9HWH2,V9HWH2_HUMAN,unreviewed,Creatine kinase (EC 2.7.3.2),HEL-S-29 CKB,Homo sapiens (Human),381
hsa:1158,P06732,KCRM_HUMAN,reviewed,Creatine kinase M-type (EC 2.7.3.2) (Creatine kinase M chain) (Creatine phosphokinase M-type) (CPK-M) (M-CK),CKM CKMM,Homo sapiens (Human),381
hsa:1158,B2R892,B2R892_HUMAN,unreviewed,Creatine kinase (EC 2.7.3.2),,Homo sapiens (Human),381
hsa:1159,P12532,KCRU_HUMAN,reviewed,"Creatine kinase U-type, mitochondrial (EC 2.7.3.2) (Acidic-type mitochondrial creatine kinase) (Mia-CK) (Ubiquitous mitochondrial creatine kinase) (U-MtCK)",CKMT1A CKMT; CKMT1B CKMT,Homo sapiens (Human),417
hsa:1160,P17540,KCRS_HUMAN,reviewed,"Creatine kinase S-type, mitochondrial (EC 2.7.3.2) (Basic-type mitochondrial creatine kinase) (Mib-CK) (Sarcomeric mitochondrial creatine kinase) (S-MtCK)",CKMT2,Homo sapiens (Human),419
hsa:1160,A0A024RAK5,A0A024RAK5_HUMAN,unreviewed,Creatine kinase (EC 2.7.3.2),CKMT2 hCG_37128,Homo sapiens (Human),419
hsa:116285,Q08AH1,ACSM1_HUMAN,reviewed,"Acyl-coenzyme A synthetase ACSM1, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 1) (Benzoate--CoA ligase) (EC 6.2.1.25) (Butyrate--CoA ligase 1) (Butyryl-coenzyme A synthetase 1) (Lipoate-activating enzyme) (Middle-chain acyl-CoA synthetase 1) (Xenobiotic/medium-chain fatty acid-CoA ligase HXM-B)",ACSM1 BUCS1 LAE MACS1,Homo sapiens (Human),577
hsa:116285,B2RAP4,B2RAP4_HUMAN,unreviewed,"cDNA, FLJ95037, highly similar to Homo sapiens acyl-CoA synthetase medium-chain family member 1 (ACSM1), mRNA",,Homo sapiens (Human),577
hsa:117248,Q8N3T1,GLT15_HUMAN,reviewed,Polypeptide N-acetylgalactosaminyltransferase 15 (EC 2.4.1.41) (Polypeptide GalNAc transferase-like protein 2) (GalNAc-T-like protein 2) (pp-GaNTase-like protein 2) (Polypeptide N-acetylgalactosaminyltransferase-like protein 2) (Protein-UDP acetylgalactosaminyltransferase-like protein 2) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 2),GALNT15 GALNTL2 UNQ770/PRO1564,Homo sapiens (Human),639
hsa:119391,Q9H4Y5,GSTO2_HUMAN,reviewed,Glutathione S-transferase omega-2 (GSTO-2) (EC 2.5.1.18) (Glutathione S-transferase omega 2-2) (GSTO 2-2) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1) (Monomethylarsonic acid reductase) (MMA(V) reductase) (EC 1.20.4.2),GSTO2,Homo sapiens (Human),243
hsa:119548,Q17RR3,LIPR3_HUMAN,reviewed,Pancreatic lipase-related protein 3 (PL-RP3) (EC 3.1.1.3),PNLIPRP3,Homo sapiens (Human),467
hsa:120071,Q8N3Y3,LARG2_HUMAN,reviewed,"LARGE xylosyl- and glucuronyltransferase 2 (EC 2.4.-.-) (Glycosyltransferase-like 1B) [Includes: Xylosyltransferase LARGE2 (EC 2.4.2.-); Beta-1,3-glucuronyltransferase LARGE2 (EC 2.4.1.-)]",LARGE2 GYLTL1B PP5656,Homo sapiens (Human),721
hsa:120227,Q6VVX0,CP2R1_HUMAN,reviewed,Vitamin D 25-hydroxylase (EC 1.14.14.24) (Cytochrome P450 2R1),CYP2R1,Homo sapiens (Human),501
hsa:121278,Q8IWU9,TPH2_HUMAN,reviewed,Tryptophan 5-hydroxylase 2 (EC 1.14.16.4) (Neuronal tryptophan hydroxylase) (Tryptophan 5-monooxygenase 2),TPH2 NTPH,Homo sapiens (Human),490
hsa:122618,Q96BZ4,PLD4_HUMAN,reviewed,5'-3' exonuclease PLD4 (EC 3.1.16.1) (Choline phosphatase 4) (Phosphatidylcholine-hydrolyzing phospholipase D4) (Phospholipase D family member 4) (Phospholipase D4) (PLD 4),PLD4 C14orf175 UNQ2488/PRO5775,Homo sapiens (Human),506
hsa:122618,B4DI07,B4DI07_HUMAN,unreviewed,"cDNA FLJ50089, highly similar to Homo sapiens phospholipase D family, member 4 (PLD4), mRNA",,Homo sapiens (Human),506
hsa:122618,B4DJQ6,B4DJQ6_HUMAN,unreviewed,"cDNA FLJ56630, highly similar to Homo sapiens phospholipase D family, member 4 (PLD4), mRNA",,Homo sapiens (Human),513
hsa:122970,Q8N9L9,ACOT4_HUMAN,reviewed,Peroxisomal succinyl-coenzyme A thioesterase (EC 3.1.2.3) (Acyl-coenzyme A thioesterase 4) (Acyl-CoA thioesterase 4) (EC 3.1.2.2) (PTE-2b) (Peroxisomal acyl coenzyme A thioester hydrolase Ib) (Peroxisomal long-chain acyl-CoA thioesterase Ib) (PTE-Ib),ACOT4 PTE2B PTEIB,Homo sapiens (Human),421
hsa:123099,Q6QHC5,DEGS2_HUMAN,reviewed,Sphingolipid delta(4)-desaturase/C4-monooxygenase DES2 (EC 1.14.18.5) (EC 1.14.19.17) (Degenerative spermatocyte homolog 2) (Sphingolipid 4-desaturase) (Sphingolipid C4-monooxygenase),DEGS2 C14orf66,Homo sapiens (Human),323
hsa:123688,A2RU49,HYKK_HUMAN,reviewed,Hydroxylysine kinase (5-hydroxy-L-lysine kinase) (EC 2.7.1.81) (Aminoglycoside phosphotransferase domain-containing protein 1),HYKK AGPHD1,Homo sapiens (Human),373
hsa:123745,Q3MJ16,PA24E_HUMAN,reviewed,Cytosolic phospholipase A2 epsilon (cPLA2-epsilon) (EC 3.1.1.4) (Calcium-dependent N-acyltransferase) (Phospholipase A2 group IVE),PLA2G4E,Homo sapiens (Human),868
hsa:123876,Q08AH3,ACS2A_HUMAN,reviewed,"Acyl-coenzyme A synthetase ACSM2A, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 2A) (Benzoate--CoA ligase) (EC 6.2.1.25) (Butyrate--CoA ligase 2A) (Butyryl-coenzyme A synthetase 2A) (Middle-chain acyl-CoA synthetase 2A)",ACSM2A ACSM2 MACS2,Homo sapiens (Human),577
hsa:124,P07327,ADH1A_HUMAN,reviewed,Alcohol dehydrogenase 1A (EC 1.1.1.1) (Alcohol dehydrogenase subunit alpha),ADH1A ADH1,Homo sapiens (Human),375
hsa:124583,Q8WVQ1,CANT1_HUMAN,reviewed,Soluble calcium-activated nucleotidase 1 (SCAN-1) (EC 3.6.1.6) (Apyrase homolog) (Putative MAPK-activating protein PM09) (Putative NF-kappa-B-activating protein 107),CANT1 SHAPY,Homo sapiens (Human),401
hsa:124583,A0A024R8U8,A0A024R8U8_HUMAN,unreviewed,"Calcium activated nucleotidase 1, isoform CRA_b",CANT1 hCG_2039938,Homo sapiens (Human),401
hsa:124975,Q6P531,GGT6_HUMAN,reviewed,Glutathione hydrolase 6 (EC 3.4.19.13) (Gamma-glutamyltransferase 6) (GGT 6) (EC 2.3.2.2) (Gamma-glutamyltranspeptidase 6) [Cleaved into: Glutathione hydrolase 6 heavy chain; Glutathione hydrolase 6 light chain],GGT6,Homo sapiens (Human),493
hsa:124975,Q6ZPD7,Q6ZPD7_HUMAN,unreviewed,"cDNA FLJ25990 fis, clone DMC02673",,Homo sapiens (Human),151
hsa:125,P00325,ADH1B_HUMAN,reviewed,All-trans-retinol dehydrogenase [NAD(+)] ADH1B (EC 1.1.1.105) (Alcohol dehydrogenase 1B) (Alcohol dehydrogenase subunit beta),ADH1B ADH2,Homo sapiens (Human),375
hsa:125,V9HW50,V9HW50_HUMAN,unreviewed,All-trans-retinol dehydrogenase [NAD(+)] ADH1B (Epididymis secretory protein Li 117),ADH1B HEL-S-117,Homo sapiens (Human),375
hsa:125965,Q6YFQ2,CX6B2_HUMAN,reviewed,"Cytochrome c oxidase subunit 6B2 (Cancer/testis antigen 59) (CT59) (Cytochrome c oxidase subunit VIb isoform 2) (COX VIb-2) (Cytochrome c oxidase subunit VIb, testis-specific isoform)",COX6B2,Homo sapiens (Human),88
hsa:125981,Q8TDN7,ACER1_HUMAN,reviewed,Alkaline ceramidase 1 (AlkCDase 1) (Alkaline CDase 1) (EC 3.5.1.-) (EC 3.5.1.23) (Acylsphingosine deacylase 3) (N-acylsphingosine amidohydrolase 3),ACER1 ASAH3,Homo sapiens (Human),264
hsa:126,P00326,ADH1G_HUMAN,reviewed,Alcohol dehydrogenase 1C (EC 1.1.1.1) (Alcohol dehydrogenase subunit gamma),ADH1C ADH3,Homo sapiens (Human),375
hsa:126328,Q86Y39,NDUAB_HUMAN,reviewed,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11 (Complex I-B14.7) (CI-B14.7) (NADH-ubiquinone oxidoreductase subunit B14.7),NDUFA11,Homo sapiens (Human),141
hsa:126792,Q96L58,B3GT6_HUMAN,reviewed,"Beta-1,3-galactosyltransferase 6 (Beta-1,3-GalTase 6) (Beta3Gal-T6) (Beta3GalT6) (EC 2.4.1.134) (GAG GalTII) (Galactosyltransferase II) (Galactosylxylosylprotein 3-beta-galactosyltransferase) (UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6)",B3GALT6,Homo sapiens (Human),329
hsa:127,P08319,ADH4_HUMAN,reviewed,All-trans-retinol dehydrogenase [NAD(+)] ADH4 (EC 1.1.1.105) (Alcohol dehydrogenase 4) (Alcohol dehydrogenase class II pi chain),ADH4,Homo sapiens (Human),380
hsa:127,V9HVX7,V9HVX7_HUMAN,unreviewed,Epididymis secretory protein Li 4,HEL-S-4,Homo sapiens (Human),392
hsa:127124,Q96LB4,VATG3_HUMAN,reviewed,V-type proton ATPase subunit G 3 (V-ATPase subunit G 3) (V-ATPase 13 kDa subunit 3) (Vacuolar proton pump subunit G 3),ATP6V1G3 ATP6G3,Homo sapiens (Human),118
hsa:127281,Q8TBF2,PXL2B_HUMAN,reviewed,Prostamide/prostaglandin F synthase (Prostamide/PG F synthase) (Prostamide/PGF synthase) (EC 1.11.1.20) (Peroxiredoxin-like 2B) (Protein FAM213B),PRXL2B C1orf93 FAM213B,Homo sapiens (Human),198
hsa:127281,A0A2P0CTB1,A0A2P0CTB1_HUMAN,unreviewed,Prostamide/prostaglandin F synthase,PRXL2B,Homo sapiens (Human),228
hsa:127550,U3KPV4,A3LT2_HUMAN,reviewed,"Alpha-1,3-galactosyltransferase 2 (EC 2.4.1.87) (Isoglobotriaosylceramide synthase) (iGb3 synthase) (iGb3S)",A3GALT2 A3GALT2P IGBS3S,Homo sapiens (Human),340
hsa:128,P11766,ADHX_HUMAN,reviewed,Alcohol dehydrogenase class-3 (EC 1.1.1.1) (Alcohol dehydrogenase 5) (Alcohol dehydrogenase class chi chain) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-) (S-(hydroxymethyl)glutathione dehydrogenase) (EC 1.1.1.284),ADH5 ADHX FDH,Homo sapiens (Human),374
hsa:128,Q6IRT1,Q6IRT1_HUMAN,unreviewed,S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284),ADH5 HEL-S-60p hCG_41483,Homo sapiens (Human),374
hsa:128869,Q9H490,PIGU_HUMAN,reviewed,Phosphatidylinositol glycan anchor biosynthesis class U protein (Cell division cycle protein 91-like 1) (Protein CDC91-like 1) (GPI transamidase component PIG-U),PIGU CDC91L1 PSEC0205 UNQ3055/PRO9875,Homo sapiens (Human),435
hsa:129642,Q6ZWT7,MBOA2_HUMAN,reviewed,Lysophospholipid acyltransferase 2 (LPLAT 2) (EC 2.3.1.-) (1-acylglycerophosphate O-acyltransferase MBOAT2) (EC 2.3.1.51) (1-acylglycerophosphocholine O-acyltransferase MBOAT2) (EC 2.3.1.23) (1-acylglycerophosphoethanolamine MBOAT2 O-acyltransferase) (EC 2.3.1.n7) (Lysophosphatidic acid acyltransferase) (LPAAT) (Lyso-PA acyltransferase) (Lysophosphatidylcholine acyltransferase) (LPCAT) (Lyso-PC acyltransferase) (Lysophosphatidylcholine acyltransferase 4) (Lyso-PC acyltransferase 4) (Lysophosphatidylethanolamine acyltransferase) (LPEAT) (Lyso-PE acyltransferase) (Membrane-bound O-acyltransferase domain-containing protein 2) (O-acyltransferase domain-containing protein 2),MBOAT2 LPCAT4 OACT2,Homo sapiens (Human),520
hsa:129807,Q8WWR8,NEUR4_HUMAN,reviewed,Sialidase-4 (EC 3.2.1.18) (N-acetyl-alpha-neuraminidase 4),NEU4 LP5125,Homo sapiens (Human),484
hsa:129807,B3KR54,B3KR54_HUMAN,unreviewed,Exo-alpha-sialidase (EC 3.2.1.18),NEU4 hCG_31619,Homo sapiens (Human),484
hsa:130,P28332,ADH6_HUMAN,reviewed,Alcohol dehydrogenase 6 (EC 1.1.1.1),ADH6,Homo sapiens (Human),368
hsa:130,Q8IUN7,Q8IUN7_HUMAN,unreviewed,ADH6 protein (Alcohol dehydrogenase 6),ADH6,Homo sapiens (Human),295
hsa:130013,Q8TDX5,ACMSD_HUMAN,reviewed,2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45) (Picolinate carboxylase),ACMSD,Homo sapiens (Human),336
hsa:130367,Q8IWX5,SGPP2_HUMAN,reviewed,Sphingosine-1-phosphate phosphatase 2 (SPPase2) (Spp2) (hSPP2) (EC 3.1.3.-) (Sphingosine-1-phosphatase 2),SGPP2,Homo sapiens (Human),399
hsa:130589,Q96C23,GALM_HUMAN,reviewed,Galactose mutarotase (EC 5.1.3.3) (Aldose 1-epimerase),GALM BLOCK25,Homo sapiens (Human),342
hsa:130589,A0A384MDW6,A0A384MDW6_HUMAN,unreviewed,Aldose 1-epimerase (EC 5.1.3.3),,Homo sapiens (Human),342
hsa:131,P40394,ADH7_HUMAN,reviewed,All-trans-retinol dehydrogenase [NAD(+)] ADH7 (EC 1.1.1.105) (Alcohol dehydrogenase class 4 mu/sigma chain) (EC 1.1.1.1) (Alcohol dehydrogenase class IV mu/sigma chain) (Gastric alcohol dehydrogenase) (Omega-hydroxydecanoate dehydrogenase ADH7) (EC 1.1.1.66) (Retinol dehydrogenase),ADH7,Homo sapiens (Human),386
